Vehicle,AllCoverages,Collision,PropertyDamage,Comprehensive,Pip,MedPay,BodilyInjury
Mini Cooper,,-32,-39.0,-33.0,-29.0,,-52.0
Mini Cooper convertible,,-33,-41.0,1.0,-36.0,,
Mini Cooper electric 2dr,,-26,-52.0,,,,
Hyundai Veloster N,,38,-15.0,-1.0,-9.0,,
Subaru BRZ,,20,,,,,
Toyota GR86 2dr,,166,,,,,
Dodge Challenger,96.0,108,76.0,107.0,52.0,73.0,109.0
Dodge Challenger 4WD,,58,71.0,9.0,30.0,,
Dodge Challenger SRT Hellcat,,202,-10.0,831.0,,,
Dodge Challenger SRT Hellcat Redeye,,206,16.0,633.0,,,
Mitsubishi Mirage,,44,43.0,41.0,128.0,,
Chevrolet Spark,36.0,-6,52.0,-34.0,69.0,96.0,97.0
Hyundai Accent,54.0,21,57.0,-19.0,91.0,103.0,114.0
Kia Rio,74.0,32,82.0,-15.0,128.0,173.0,138.0
Mini Cooper,,-24,-20.0,-22.0,-34.0,,
Mitsubishi Mirage G4,,82,60.0,27.0,230.0,,
Acura ILX,11.0,15,-2.0,-13.0,30.0,42.0,17.0
Chevrolet Bolt electric,-32.0,-36,-13.0,-48.0,-27.0,-47.0,-33.0
Chevrolet Bolt EUV electric 4dr,,-2,-28.0,-26.0,,,
Honda Civic,29.0,36,20.0,-9.0,60.0,49.0,35.0
Honda Civic hatchback,21.0,32,6.0,-5.0,40.0,39.0,27.0
Honda Civic Si,,47,-13.0,21.0,,,
Honda Insight hybrid,2.0,4,3.0,-16.0,27.0,15.0,0.0
Hyundai Elantra,45.0,52,25.0,20.0,76.0,97.0,49.0
Hyundai Elantra hybrid,,48,10.0,21.0,67.0,,
Hyundai Elantra N 4dr,,124,,30.0,,,
Hyundai Ioniq hybrid,22.0,25,6.0,31.0,39.0,66.0,14.0
Hyundai Ioniq plug-in hybrid,,9,-5.0,-6.0,,,
Kia Forte,46.0,27,36.0,23.0,78.0,117.0,72.0
Mazda 3,4.0,4,18.0,-16.0,18.0,18.0,-1.0
Mazda 3 4WD,,6,4.0,2.0,-8.0,,
Mazda 3 hatchback,,-3,-13.0,-7.0,-8.0,,-15.0
Mazda 3 hatchback 4WD,,8,-18.0,-5.0,-15.0,,-47.0
Nissan Kicks,16.0,11,3.0,-20.0,60.0,74.0,30.0
Nissan Leaf electric,-5.0,3,4.0,-27.0,-6.0,-24.0,-6.0
Nissan Sentra,45.0,40,28.0,-3.0,75.0,118.0,71.0
Nissan Versa,51.0,29,38.0,-5.0,107.0,136.0,89.0
Subaru Impreza 4WD,,-18,,,,,
Subaru Impreza 4WD with EyeSight,-10.0,-21,-3.0,-13.0,-11.0,18.0,-4.0
Subaru WRX 4WD,8.0,17,4.0,-5.0,-4.0,-5.0,15.0
Subaru WRX 4WD with EyeSight,,16,-15.0,-14.0,,,
Toyota Corolla,19.0,6,12.0,-10.0,69.0,61.0,38.0
Toyota Corolla hatchback,-1.0,-5,-2.0,-3.0,4.0,8.0,2.0
Toyota Corolla hybrid,25.0,25,11.0,-2.0,48.0,58.0,37.0
Toyota Prius hybrid,5.0,12,-4.0,1.0,1.0,31.0,4.0
Toyota Prius hybrid 4WD,-1.0,4,-12.0,2.0,5.0,8.0,-5.0
Toyota Prius Prime plug-in hybrid,0.0,16,-20.0,17.0,-6.0,3.0,-11.0
Volkswagen GTI,-12.0,3,-24.0,-12.0,-7.0,-22.0,-21.0
Chevrolet Malibu,64.0,42,54.0,0.0,92.0,109.0,122.0
Honda Accord,20.0,17,3.0,19.0,73.0,54.0,16.0
Honda Accord hybrid,0.0,7,-10.0,1.0,19.0,23.0,-11.0
Hyundai Sonata,27.0,45,4.0,14.0,48.0,66.0,18.0
Hyundai Sonata hybrid,27.0,43,11.0,39.0,19.0,46.0,14.0
Kia K5 2WD/4WD,42.0,54,12.0,28.0,61.0,97.0,45.0
Nissan Altima,52.0,45,31.0,20.0,101.0,106.0,72.0
Nissan Altima 4WD,28.0,30,12.0,20.0,42.0,65.0,31.0
Nissan Maxima,35.0,49,1.0,49.0,67.0,51.0,24.0
Subaru Legacy 4WD with EyeSight,-23.0,-25,-33.0,3.0,-28.0,-8.0,-27.0
Toyota Camry,17.0,19,-7.0,10.0,65.0,54.0,17.0
Toyota Camry 4WD,17.0,23,3.0,17.0,55.0,29.0,10.0
Toyota Camry hybrid,23.0,36,5.0,12.0,39.0,48.0,19.0
Toyota Mirai fuel cell,,52,-7.0,,,,
Volkswagen Jetta,14.0,9,16.0,-19.0,28.0,35.0,31.0
Volkswagen Passat,-1.0,1,-10.0,-6.0,16.0,28.0,-2.0
Chrysler 300,51.0,37,39.0,10.0,73.0,115.0,83.0
Chrysler 300 4WD,,29,45.0,-6.0,,,
Chrysler 300 HEMI,,68,31.0,55.0,,,
Dodge Charger,109.0,100,108.0,38.0,105.0,132.0,160.0
Dodge Charger 4WD,,67,71.0,-1.0,37.0,,
Dodge Charger HEMI,181.0,227,98.0,319.0,89.0,127.0,148.0
Dodge Charger SRT Hellcat,,406,131.0,1403.0,,,
Kia Stinger 2WD/4WD,36.0,67,9.0,39.0,36.0,35.0,21.0
Toyota Avalon,-3.0,12,-31.0,15.0,5.0,1.0,-12.0
Toyota Avalon hybrid,2.0,21,-22.0,22.0,7.0,-9.0,-14.0
Volkswagen Arteon,,42,-6.0,36.0,,,
Volkswagen Arteon 4WD,,18,-27.0,44.0,,,
Acura TLX 4dr,,26,-1.0,15.0,42.0,,
Acura TLX 4dr 4WD,,29,-18.0,18.0,2.0,,
Alfa Romeo Giulia 4dr,,80,3.0,53.0,17.0,,
Alfa Romeo Giulia 4dr 4WD,,54,10.0,53.0,10.0,,
Audi A3 4dr,,16,,,,,
Audi A3 4dr 4WD,,5,,-37.0,,,
Audi A4 4dr 4WD,3.0,41,-19.0,18.0,-21.0,-14.0,-26.0
Audi A4 Allroad station wagon 4WD,,26,-37.0,27.0,,,
Audi A5 2dr 4WD,,82,-25.0,42.0,,,
Audi A5 4dr 4WD hatchback,,56,-27.0,33.0,-16.0,,
Audi A5 convertible 4WD,,31,-39.0,59.0,,,
Audi RS5 4dr 4WD,,163,,146.0,,,
Audi S4 4dr 4WD,,102,-15.0,72.0,,,
Audi S5 2dr 4WD,,128,,,,,
Audi S5 4dr 4WD hatchback,,97,-10.0,60.0,,,
Audi S5 convertible 4WD,,52,,174.0,,,
BMW 2 series 2dr,,50,,,,,
BMW 2 series 4dr,,43,4.0,-28.0,,,
BMW 2 series 4dr 4WD,,41,-2.0,9.0,0.0,,
BMW 3 series 4dr,15.0,40,2.0,8.0,-4.0,22.0,2.0
BMW 3 series 4dr 4WD,1.0,29,-14.0,19.0,0.0,-25.0,-29.0
BMW 3 series 4dr plug-in hybrid 4WD,,57,,,,,
BMW 3 series plug-in hybrid 4dr,,32,-7.0,3.0,,,
BMW 4 series 2dr,,82,-10.0,38.0,,,
BMW 4 series 2dr 4WD,,58,-5.0,71.0,,,
BMW 4 series 4dr,,40,,2.0,,,
BMW 4 series convertible,,29,-24.0,70.0,,,
BMW 4 series convertible 4WD,,5,-34.0,,-42.0,,
BMW M2 Competition 2dr,,71,-35.0,27.0,,,
BMW M235xi 4dr 4WD,,87,-30.0,29.0,,,
BMW M240xi 2dr 4WD,,94,,,,,
BMW M3 4dr,,339,35.0,91.0,,,
BMW M3 4dr 4WD,,549,,101.0,,,
BMW M340i 4dr,,95,-9.0,50.0,-3.0,,-14.0
BMW M340xi 4dr 4WD,,72,-19.0,87.0,-2.0,,
BMW M4 2dr,,234,33.0,128.0,,,
BMW M4 2dr 4WD,,641,,362.0,,,
BMW M440i convertible,,55,,75.0,,,
BMW M440xi 2dr 4WD,,87,-30.0,80.0,,,
BMW M440xi 4dr 4WD,,132,,,,,
Cadillac CT4 4dr,,25,-24.0,11.0,34.0,,
Cadillac CT4 4dr 4WD,,21,-25.0,-12.0,18.0,,
Cadillac CT4-V 4dr,,106,,13.0,,,
Cadillac CT4-V 4dr 4WD,,30,,89.0,,,
Cadillac CT5 4dr,,23,-10.0,3.0,7.0,,
Cadillac CT5 4dr 4WD,,26,-7.0,14.0,-1.0,,
Cadillac CT5-V 4dr,,29,,,,,
Cadillac CT5-V 4dr 4WD,,39,,96.0,,,
Infiniti Q50 4dr,,87,20.0,112.0,32.0,,64.0
Infiniti Q50 4dr 4WD,,74,26.0,82.0,18.0,,
Infiniti Q60 2dr,,123,-1.0,171.0,,,
Infiniti Q60 2dr 4WD,,99,-15.0,204.0,,,
Jaguar F-Type 2dr,,76,,,,,
Jaguar F-Type 2dr 4WD,,85,,,,,
Jaguar F-Type convertible,,146,,,,,
Jaguar F-Type convertible 4WD,,117,,,,,
Lexus ES 250 4dr 4WD,,43,-28.0,35.0,16.0,,
Lexus ES 300h hybrid 4dr,37.0,67,-11.0,42.0,0.0,129.0,32.0
Lexus ES 350 4dr,-2.0,22,-33.0,23.0,-2.0,18.0,-23.0
Lexus IS 300 4dr,,45,-7.0,17.0,12.0,,-5.0
Lexus IS 300 4dr 4WD,,46,-9.0,43.0,50.0,,
Lexus IS 350 4dr,,73,-20.0,43.0,6.0,,
Lexus IS 350 4dr 4WD,,92,-9.0,57.0,36.0,,
Mercedes-Benz A class 4dr,,47,-4.0,31.0,46.0,,14.0
Mercedes-Benz A class 4dr 4WD,,51,-12.0,43.0,41.0,,
Mercedes-Benz C class 2dr,,74,13.0,25.0,,,
Mercedes-Benz C class 2dr 4WD,,46,,44.0,,,
Mercedes-Benz C class 4dr,14.0,33,-4.0,14.0,17.0,42.0,-1.0
Mercedes-Benz C class 4dr 4WD,,45,0.0,29.0,17.0,,
Mercedes-Benz C class AMG 2dr 4WD,,80,,111.0,,,
Mercedes-Benz C class AMG convertible 4WD,,57,,77.0,,,
Mercedes-Benz C class convertible,,30,-31.0,70.0,,,
Mercedes-Benz C class convertible 4WD,,-12,-66.0,35.0,,,
Mercedes-Benz CLA class 4dr,,73,8.0,34.0,33.0,,24.0
Mercedes-Benz CLA class 4dr 4WD,,79,-5.0,70.0,44.0,,
Mercedes-Benz CLA class AMG 4dr 4WD,,141,-17.0,141.0,,,
Tesla Model 3 electric 4dr,14.0,58,-4.0,-10.0,1.0,9.0,-10.0
Tesla Model 3 electric 4dr 4WD,8.0,60,-17.0,9.0,-15.0,-13.0,-25.0
Volvo S60 4dr,,-3,-8.0,-4.0,-10.0,,
Volvo S60 4dr 4WD,,6,-19.0,10.0,-29.0,,
Volvo S60 plug-in hybrid 4dr 4WD,,15,,-29.0,,,
Audi A6 4dr 4WD,,57,-24.0,84.0,-31.0,,
Audi A6 Allroad station wagon 4WD,,21,-43.0,74.0,,,
Audi A7 4dr 4WD,,100,-3.0,37.0,,,
Audi RS6 station wagon 4WD,,137,,119.0,,,
Audi RS7 4dr 4WD,,215,,234.0,,,
Audi S6 4dr 4WD,,98,,125.0,,,
Audi S7 4dr 4WD,,170,,201.0,,,
BMW 5 series 4dr,26.0,64,-8.0,72.0,-23.0,41.0,-7.0
BMW 5 series 4dr 4WD,,62,-7.0,122.0,-18.0,,
BMW 5 series plug-in hybrid 4dr,,61,37.0,61.0,,,
BMW 5 series plug-in hybrid 4dr 4WD,,63,,50.0,,,
BMW 8 series 4dr,,181,25.0,179.0,,,
BMW 8 series 4dr 4WD,,131,,289.0,,,
BMW 8 series convertible,,56,,,,,
BMW M5 4dr 4WD,,406,59.0,274.0,,,
BMW M550xi 4dr 4WD,,130,3.0,190.0,-25.0,,
BMW M8 2dr 4WD,,586,,337.0,,,
BMW M8 4dr 4WD,,599,,609.0,,,
BMW M8 convertible 4WD,,292,,508.0,,,
BMW M850xi 2dr 4WD,,148,,484.0,,,
BMW M850xi 4dr 4WD,,370,26.0,433.0,,,
BMW M850xi convertible 4WD,,129,,288.0,,,
Genesis G70 4dr 2WD/4WD,8.0,41,-8.0,29.0,11.0,-1.0,-32.0
Genesis G80 4dr 2WD/4WD,,45,-5.0,57.0,-7.0,,
Jaguar XF 4dr,,79,,,,,
Jaguar XF 4dr 4WD,,64,,101.0,,,
Lexus LC 500 2dr,,47,,92.0,,,
Lexus LC 500 convertible,,92,-39.0,160.0,,,
Lexus RC 300 2dr,,39,,-26.0,,,
Lexus RC 300 2dr 4WD,,34,,13.0,,,
Lexus RC 350 2dr,,46,-15.0,25.0,,,
Lexus RC 350 2dr 4WD,,51,,0.0,,,
Lexus RC-F 2dr,,150,,,,,
Lucid Air electric 4dr 4WD,,300,,,,,
Maserati Ghibli 4dr,,174,,253.0,,,
Maserati Ghibli 4dr 4WD,,154,,122.0,,,
Mercedes-Benz CLS class 4dr 4WD,,131,,136.0,,,
Mercedes-Benz E class 2dr,,81,-35.0,35.0,,,
Mercedes-Benz E class 2dr 4WD,,113,-24.0,77.0,,,
Mercedes-Benz E class 4dr,28.0,58,-12.0,61.0,7.0,27.0,12.0
Mercedes-Benz E class 4dr 4WD,,60,-19.0,75.0,-11.0,,
Mercedes-Benz E class AMG 2dr 4WD,,237,,,,,
Mercedes-Benz E class AMG 4dr 4WD,,181,13.0,190.0,,,
Mercedes-Benz E class AMG convertible 4WD,,75,,165.0,,,
Mercedes-Benz E class convertible,,72,-24.0,,,,
Mercedes-Benz E class convertible 4WD,,45,-41.0,121.0,,,
Mercedes-Benz E class station wagon 4WD,,25,-25.0,113.0,,,
Polestar 2 electric 4dr 4WD,,11,-45.0,,,,
Tesla Model S 4dr electric 4WD,38.0,141,-12.0,53.0,-40.0,-37.0,-22.0
Audi A8L 4dr 4WD,,92,-18.0,168.0,,,
Audi S8 4dr 4WD,,241,,367.0,,,
Bentley Continental GT 2dr 4WD,,378,,582.0,,,
Bentley Continental GTC convertible 4WD,,287,-41.0,1139.0,,,
Bentley Flying Spur 4dr 4WD,,392,,430.0,,,
BMW 7 series 4dr,,189,57.0,228.0,,,
BMW 7 series 4dr 4WD,,154,6.0,292.0,-21.0,,
Genesis G90 4dr 2WD/4WD,,38,-38.0,123.0,,,
Lexus LS 500 4dr,,76,-15.0,86.0,,,
Lexus LS 500 4dr 4WD,,101,,88.0,,,
Mercedes-Benz EQS electric sedan 4dr,,162,,,,,
Mercedes-Benz S class 4dr LWB 4WD,,200,-16.0,376.0,-14.0,,
Volvo S90 4dr LWB 4WD,,22,-28.0,36.0,,,
Volvo V90 Cross Country station wagon 4WD,,-1,,33.0,,,
Mazda MX-5 Miata convertible,-25.0,-10,-35.0,-19.0,-3.0,-30.0,-46.0
Porsche Boxster convertible,,54,-42.0,54.0,,,
Porsche Cayman 2dr,,59,-68.0,,,,
BMW Z4 convertible,,13,-60.0,13.0,-46.0,,
Chevrolet Corvette 2dr,-9.0,45,-55.0,16.0,-50.0,-43.0,-35.0
Chevrolet Corvette convertible,-17.0,14,-57.0,47.0,-53.0,-59.0,-42.0
Ferrari F8 Tributo 2dr,,489,,,,,
Ford Mustang 2dr,62.0,81,58.0,0.0,50.0,83.0,75.0
Ford Mustang convertible,,16,-11.0,8.0,7.0,,
Ford Mustang GT 2dr,59.0,122,22.0,19.0,23.0,37.0,47.0
Ford Mustang GT convertible,,-2,-35.0,-1.0,,,
Ford Mustang Mach 1 2dr,,37,-65.0,-14.0,,,
Ford Mustang Shelby GT500 2dr,,59,-28.0,-8.0,-69.0,,
McLaren 720S convertible,,652,,621.0,,,
Porsche 911 Carrera 2dr,,122,-76.0,86.0,-66.0,,
Porsche 911 Carrera convertible,,108,-66.0,119.0,-71.0,,
Porsche 911 Targa 2dr 4WD,,110,,,,,
Porsche 911 Turbo 2dr 4WD,,332,,,,,
Porsche 911 Turbo convertible 4WD,,115,,,,,
Toyota GR Supra 2dr,17.0,90,-22.0,11.0,7.0,-4.0,-31.0
Aston Martin Vantage V8 2dr,,428,,524.0,,,
Audi e-tron GT electric 4dr 4WD,,161,,,,,
Audi R8 2dr 4WD,,214,,542.0,,,
Chevrolet Camaro 2dr,59.0,84,47.0,10.0,56.0,65.0,66.0
Chevrolet Camaro convertible,,31,-4.0,-8.0,4.0,,
Chevrolet Camaro ZL1 2dr,,94,3.0,134.0,,,
Mercedes-Benz GT class AMG 4dr 4WD,,241,12.0,265.0,6.0,,
Porsche Panamera 4dr,,98,-12.0,245.0,-48.0,,
Porsche Panamera GTS 4dr 4WD,,252,,,,,
Porsche Panamera plug-in hybrid 4dr 4WD,,110,,112.0,,,
Porsche Taycan electric 4dr 4WD,,175,-23.0,207.0,-63.0,,-35.0
Chrysler Pacifica,-10.0,-23,-1.0,-19.0,-8.0,-9.0,3.0
Chrysler Pacifica 4WD,-17.0,-22,-11.0,-11.0,-25.0,-27.0,-16.0
Chrysler Pacifica plug-in hybrid,-18.0,-18,-23.0,-3.0,-31.0,-54.0,-13.0
Chrysler Voyager minivan,,-18,31.0,-19.0,31.0,,
Honda Odyssey,-22.0,-20,-19.0,-23.0,-18.0,-12.0,-28.0
Kia Carnival,1.0,3,-12.0,9.0,24.0,14.0,-6.0
Toyota Sienna hybrid van,7.0,17,-12.0,2.0,18.0,30.0,6.0
Toyota Sienna hybrid van 4WD,-2.0,9,-19.0,18.0,-6.0,-12.0,-10.0
Chevrolet Colorado crew cab,15.0,-3,49.0,-40.0,6.0,7.0,44.0
Chevrolet Colorado crew cab 4WD,-7.0,-15,26.0,-30.0,-33.0,-29.0,1.0
Chevrolet Colorado ext. cab,,-19,42.0,-43.0,-20.0,,33.0
Chevrolet Colorado ext. cab 4WD,,-37,-4.0,-41.0,-52.0,,
Ford Maverick crew cab pickup,,-29,-16.0,-33.0,,,
Ford Maverick crew cab pickup 4WD,,-19,-37.0,-13.0,-21.0,,
Ford Maverick hybrid crew cab pickup,,-31,-18.0,-18.0,-27.0,,
Ford Ranger crew cab,8.0,-11,39.0,-36.0,-10.0,-4.0,37.0
Ford Ranger crew cab 4WD,-10.0,-12,15.0,-35.0,-25.0,-29.0,-6.0
Ford Ranger ext. cab,,-28,42.0,-42.0,-26.0,,27.0
Ford Ranger ext. cab 4WD,-15.0,-23,22.0,-33.0,-33.0,-37.0,-19.0
GMC Canyon crew cab,,-18,24.0,-46.0,-8.0,,34.0
GMC Canyon crew cab 4WD,-14.0,-20,8.0,-32.0,-37.0,-43.0,-2.0
GMC Canyon ext. cab,,-27,,-33.0,,,
GMC Canyon ext. cab 4WD,,-45,,,,,
Honda Ridgeline crew cab 4WD,-26.0,-24,-21.0,-18.0,-36.0,-39.0,-32.0
Hyundai Santa Cruz crew cab pickup,,3,-7.0,21.0,,,
Hyundai Santa Cruz crew cab pickup 4WD,,11,-11.0,-10.0,-29.0,-24.0,
Jeep Gladiator crew cab pickup 4WD,-4.0,-35,50.0,-24.0,-31.0,-30.0,13.0
Nissan Frontier crew cab LWB 4WD,,-10,,28.0,,,
Nissan Frontier crew cab SWB,,12,-4.0,-17.0,-12.0,,
Nissan Frontier crew cab SWB 4WD,-18.0,-12,-20.0,-14.0,-22.0,-35.0,-22.0
Nissan Frontier ext. cab,,18,,-21.0,,,
Nissan Frontier ext. cab 4WD,,-17,,-22.0,,,
Toyota Tacoma double cab,,-4,8.0,-14.0,10.0,,1.0
Toyota Tacoma double cab 4WD,-14.0,-8,-8.0,-20.0,-24.0,-25.0,-20.0
Toyota Tacoma double cab LWB,,-1,,-45.0,,,
Toyota Tacoma double cab LWB 4WD,,2,-17.0,-18.0,-32.0,,
Toyota Tacoma xtra cab,,-16,2.0,-10.0,,,
Toyota Tacoma xtra cab 4WD,,-24,-34.0,-42.0,-14.0,,
Chevrolet Silverado 1500,,-10,60.0,-38.0,,,
Chevrolet Silverado 1500 4WD,,-34,13.0,-43.0,,,
Chevrolet Silverado 1500 crew cab,18.0,-4,41.0,-13.0,-8.0,8.0,52.0
Chevrolet Silverado 1500 crew cab 4WD,0.0,-9,27.0,-9.0,-36.0,-35.0,12.0
Chevrolet Silverado 1500 ext. cab,,-4,72.0,-30.0,1.0,,73.0
Chevrolet Silverado 1500 ext. cab 4WD,-1.0,-13,31.0,-28.0,-42.0,-31.0,22.0
Ford F-150,,16,74.0,-36.0,,,
